2026/04/07 11:20:39 [error] 2690555#2690555: *11779393 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJLevels21.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:21:28 [error] 2690555#2690555: *11779393 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJSongInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:15 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:20 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:26 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:31 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:37 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:42 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:47 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJChallenges.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:23:50 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/loginGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
